time_ms	action	onoff
0	forward	on
75	right	on
524	forward	off
617	right	off
764	forward	on
1233	jump	on
1281	jump	off
1337	jump	on
1489	jump	off
1594	right	on
1819	right	off
1843	forward	off
2139	right	on
2332	right	off
2523	forward	on
2891	right	on
2970	jump	on
3114	jump	off
3620	forward	off
3665	crouch	on
3781	left	on
3806	right	off
3811	backward	on
4016	crouch	off
4052	left	off
4092	backward	off
4248	forward	on
4528	right	on
4569	jump	on
4610	jump	off
4649	jump	on
4780	jump	off
4996	right	off
5041	forward	off
5177	backward	on
5266	left	on
5362	backward	off
5436	left	off
5545	forward	on
5773	left	on
5818	jump	on
5953	jump	off
6216	right	on
6228	left	off
6322	crouch	on
6564	right	off
6646	crouch	off
6728	right	on
6902	right	off
7082	right	on
7121	jump	on
7250	jump	off
7627	crouch	on
7649	forward	off
7991	forward	on
8020	crouch	off
8044	right	off
8098	jump	on
8370	left	on
8767	left	off
8930	jump	off
9371	left	on
9508	left	off
9608	right	on
9802	right	off
9926	right	on
9930	forward	off
10056	backward	on
10081	right	off
10182	left	on
10306	backward	off
10338	jump	on
10406	backward	on
10489	jump	off
10510	left	off
10666	right	on
10892	right	off
11111	backward	off
11219	forward	on
11420	right	on
11577	jump	on
11698	jump	off
12170	jump	on
12297	jump	off
12841	jump	on
13033	jump	off
13259	right	off
13348	forward	off
14030	backward	on
14115	backward	off
14747	backward	on
14898	backward	off
15142	forward	on
15310	right	on
15410	jump	on
15530	jump	off
15708	right	off
15730	left	on
15988	left	off
16626	right	on
16666	jump	on
16817	jump	off
17028	right	off
17044	left	on
17609	left	off
17619	forward	off
17787	left	on
17886	forward	on
17890	left	off
18175	right	on
18218	jump	on
18353	right	off
18354	jump	off
18486	left	on
18762	jump	on
19073	jump	off
19102	right	on
19141	left	off
19386	jump	on
19642	jump	off
19914	jump	on
20106	jump	off
20117	left	on
20143	right	off
20222	forward	off
20287	left	off
20518	left	on
20703	left	off
20916	forward	on
21120	right	on
21193	jump	on
21338	jump	off
21765	right	off
22081	right	on
22147	right	off
22431	right	on
22490	jump	on
22610	jump	off
23090	right	off
23202	forward	off
